name,trans
オーナー,老板
off,off
霧子,雾子
はるき,阳希
美琴,美琴
プロデューサー,制作人
店員,店员
ナレーション,旁白
ルクア,路可儿
雛菜,雏菜
愛依,爱依
パインくんれんせい,松树炼成
恋鐘,恋钟
ルカ,路加
ルカの母,路加的妈妈
音楽の先生,音乐老师
羽那＆はるき,羽那＆阳希
夢追いガール,追梦女孩
司会,主持人
結華＆霧子,结华＆雾子
劇団俳優,剧团演员
後輩,后辈
結華,结华
摩美々,摩美美
芸人,艺人
舞台監督,舞台导演
ファン１,粉丝1
ファン２,粉丝2
灯織,灯织
灯織＆プロデューサー,灯织＆制作人
インタビュアー,采访者
講師,讲师
スタッフ,工作人员
映像部の先輩,摄影部的前辈
ルカ＆羽那,路加＆羽那
羽那＆はるき,羽那＆阳希
地元のおばあさん,当地的大婶
店員,店员
冬優子,冬优子
夏葉,夏叶
結華＆冬優子,结华＆冬优子
SNSの投稿,SNS上的投稿
レビューサイト,评论网站
コメント,评论
通行人たち,行人
円香,圆香
音楽番組ディレクター,音乐节目导演
ゆり,百合
志真,志真
羽那,羽那
央路,央路
羽那＆プロデューサー,羽那＆制作人
一同,一起
恋鐘＆幼い恋鐘,恋钟＆小时候的恋钟
日焼けした男,晒黑的男人
恋鐘の父,恋钟的爸爸
恋鐘の母,恋钟的妈妈
摩美々＆霧子,摩美美＆雾子
アナウンス,广播
友達１,朋友1
友達２,朋友2
志真の父,志真的父亲
志真の母,志真的母亲
ブランドスタッフ,品牌工作人员
智代子,智代子
智代子＆プロデューサー,智代子＆制作人
バラエティー番組の予告,综艺节目预告
インフルエンサーの投稿,网红发帖
MC（アナウンサー）,MC（播音员）
インフルエンサー,网红
MC（芸人）,MC（艺人）
共演者たち,共演者们
雑誌の記事,杂志内容
別番組のディレクター,其他节目的导演
智代子の母,智代子的妈妈
翼,翼
執事長,执事长
AL-16,AL-16
HC-12,HC-12
LA-08,LA-08
屋敷に仕える者１,宅邸侍从1
屋敷に仕える者２,宅邸侍从2
襲撃者１,袭击者1
襲撃者２,袭击者2
カメラスタッフ,摄影工作人员
モデル,模特
衣装スタッフ,服装工作人员
雛菜＆モデル,雏菜＆模特
